0,75
1,11
2,11
3,76
4,76
5,26
6,11
7,11
8,51
9,83
10,71
11,53
12,71
13,29
14,71
16,60
17,60
18,60
19,11
20,11
21,60
22,83
23,53,26
24,71
25,76
26,76
27,88
28,76
29,60
30,60
31,60
32,76
33,83
34,23
35,34
36,34
37,34
38,34
39,34
40,60
41,83
42,71
43,4
44,45
45,93
46,26
47,30
48,60
49,60
50,83
51,60
52,15
53,60
54,11
55,11
56,11
57,76
58,60
59,76
60,44
61,45
62,60
63,11
64,11
65,37
66,60
67,16
68,16
69,89
70,4
71,76
72,16
73,83
74,4
75,26
76,60
77,83
78,16
79,16
80,16
81,16
82,34
83,15
84,52
85,11
86,40
87,40
88,89
89,16
90,26
91,16
92,91
93,84
94,93
95,16
96,84
97,83
98,29
99,16
